fcode,fname,incdate
000084.OF,博时安盈A,2013-04-23
000128.OF,大成景安短融A,2013-05-24
000322.OF,农银汇理金汇,2020-06-29
000394.OF,融通通源短融A,2014-10-30
000487.OF,嘉实3个月理财A,2019-03-22
000503.OF,中信建投景和中短债A,2014-01-27
000674.OF,中海中短债,2020-06-05
000783.OF,博时季季享三个月A,2019-09-05
000792.OF,招商定期宝六个月,2017-06-16
000798.OF,民生加银家盈季度,2018-09-26
000799.OF,民生加银家盈半年,2018-08-13
000808.OF,招商招利1个月A,2020-02-28
002301.OF,兴业短债A,2016-02-03
002864.OF,广发安泽短债A,2016-06-17
002920.OF,中欧短债A,2017-02-24
003002.OF,国金及第中短债,2019-10-22
003009.OF,中融盈泽中短债A,2017-03-27
003403.OF,华商瑞丰短债A,2017-03-01
003520.OF,万家1-3年政策性金融债A,2016-11-25
003879.OF,嘉实6个月理财A,2019-09-05
004155.OF,中信保诚至泰中短债A,2017-06-06
004596.OF,中科沃土沃安中短期利率A,2018-08-22
004614.OF,鹏扬利泽A,2017-06-15
004667.OF,招商招财通A,2018-10-11
004672.OF,华夏短债A,2017-12-06
004780.OF,招商招利一年,2017-08-17
004827.OF,平安中短债A,2019-01-23
004907.OF,长安泓沣中短债A,2017-08-09
004981.OF,新华鑫日享中短债A,2018-12-19
005010.OF,金鹰添瑞中短债A,2017-09-15
005079.OF,兴银鑫日享短债A,2019-09-06
005350.OF,诺德短债A,2019-01-25
005513.OF,南华瑞恒中短债A,2019-01-29
005601.OF,汇安中短债A,2019-09-17
005725.OF,国投瑞银恒泽中短债A,2018-12-19
005754.OF,平安短债A,2018-05-16
005992.OF,光大超短债A,2018-06-13
006073.OF,人保鑫瑞中短债A,2018-08-30
006076.OF,创金合信恒利超短债A,2018-08-02
006319.OF,易方达安瑞短债A,2018-11-14
006360.OF,财通资管鸿益中短债A,2018-09-03
006387.OF,宝盈安泰短债A,2018-12-07
006389.OF,金鹰添祥中短债A,2018-09-19
006415.OF,银华中短期金融债,2018-10-19
006434.OF,鹏华3个月中短债A,2018-10-17
006436.OF,浦银安盛中短债A,2018-10-25
006488.OF,富荣富开1-3年国开债纯债A,2018-10-31
006496.OF,银华安盈短债A,2018-12-07
006516.OF,浙商汇金短债A,2018-11-22
006517.OF,南方吉元短债A,2018-11-21
006519.OF,汇安短债A,2018-11-07
006542.OF,财通资管鸿利中短债A,2018-11-22
006545.OF,兴银中短债A,2018-12-07
006591.OF,广发景明中短债A,2018-11-29
006597.OF,国泰利享中短债A,2018-12-03
006606.OF,泓德裕丰中短债A,2018-12-12
006609.OF,申万菱信安泰瑞利中短债A,2019-09-04
006626.OF,山西证券超短债A,2019-01-21
006629.OF,招商鑫悦中短债A,2018-11-30
006645.OF,银华安丰中短期金融债,2018-12-05
006646.OF,汇添富短债A,2018-12-13
006662.OF,易方达安悦超短债A,2018-12-05
006664.OF,易方达安悦超短债F,2018-12-05
006668.OF,华夏中短债A,2018-12-25
006672.OF,广发招财短债A,2019-01-18
006677.OF,中银稳汇短债A,2018-12-19
006702.OF,国富恒嘉短债A,2018-12-19
006734.OF,国金惠鑫短债A,2019-03-28
006740.OF,工银瑞信尊利中短债A,2019-04-30
006772.OF,汇添富丰润中短债,2018-12-24
006773.OF,国寿安保尊荣中短债A,2019-01-25
006793.OF,交银稳鑫短债A,2019-01-24
006797.OF,嘉实中短债A,2019-01-24
006799.OF,财通资管鸿运中短债A,2019-01-21
006804.OF,富国短债A,2019-01-18
006806.OF,西部利得添盈短债A,2019-06-04
006824.OF,创金合信鑫日享短债A,2019-01-17
006829.OF,鹏扬利沣短债A,2019-09-09
006834.OF,工银瑞信尊享短债A,2019-01-30
006852.OF,永赢迅利中高等级短债A,2019-01-17
006870.OF,广发景和中短债A,2019-03-14
006874.OF,创金合信恒兴中短债A,2019-03-05
006893.OF,汇添富丰利短债,2019-01-18
006902.OF,长盛安鑫中短债A,2019-02-20
006907.OF,银华安鑫短债A,2019-01-29
006932.OF,平安0-3年期政策性金融债A,2019-02-25
006947.OF,华宝中短债A,2019-03-15
006965.OF,财通安瑞短债A,2019-03-20
006989.OF,建信中短债纯债A,2019-03-08
006998.OF,广发景兴中短债A,2019-03-21
007014.OF,嘉合磐泰短债A,2019-07-24
007017.OF,平安如意中短债A,2019-04-03
007057.OF,中泰蓝月短债A,2019-04-26
007149.OF,南方初元中短债A,2019-06-17
007194.OF,长城短债A,2019-08-29
007218.OF,蜂巢添幂中短债A,2019-09-26
007227.OF,海富通中短债A,2019-09-24
007245.OF,安信鑫日享中短债A,2019-05-30
007319.OF,嘉实汇达中短债A,2019-06-05
007394.OF,东兴兴财短债A,2019-10-23
007414.OF,长江安盈中短债六个月定开,2019-09-25
007426.OF,浙商汇金聚盈中短债A,2019-06-25
007456.OF,汇添富90天短债A,2019-06-12
007515.OF,鹏华稳利短债A,2019-10-30
007529.OF,嘉实汇鑫中短债A,2019-09-26
007542.OF,永赢开泰中高等级中短债A,2019-08-28
007582.OF,中泰青月中短债A,2019-08-09
007603.OF,景顺长城中短债A,2019-08-20
007635.OF,银河天盈中短债A,2019-10-31
007653.OF,长盛稳益6个月A,2019-07-26
007655.OF,南方定元中短债A,2019-11-05
007717.OF,工银瑞信尊享短债F,2019-08-05
007754.OF,上银慧永利中短期A,2020-02-27
007790.OF,南方梦元短债A,2019-11-05
007819.OF,华泰紫金丰益中短债A,2019-09-06
007821.OF,华泰紫金丰利中短债A,2019-08-29
007823.OF,天弘弘择短债A,2019-08-20
007828.OF,创金合信信用红利A,2019-09-26
007901.OF,汇添富中短债A,2020-04-09
007915.OF,财通资管鸿福短债A,2019-10-15
008010.OF,前海联合润盈短债A,2019-12-24
008022.OF,建信短债F,2020-01-13
008067.OF,圆信永丰丰和中短债A,2020-06-17
008108.OF,国联安短债A,2019-12-10
008122.OF,南方皓元短债A,2019-11-28
008204.OF,交银稳利中短债A,2019-12-13
008433.OF,凯石岐短债A,2020-01-21
008448.OF,德邦短债A,2019-12-25
008491.OF,万家家丰A,2020-08-18
008497.OF,鹏扬浦利中短债A,2019-12-17
008505.OF,浙商中短债A,2020-08-24
008578.OF,东海祥苏A,2020-03-12
008587.OF,淳厚中短债A,2020-03-26
008646.OF,天弘增利A,2020-03-23
008686.OF,大成景优A,2020-08-31
008694.OF,平安元盛超短债A,2020-03-18
008761.OF,南方骏元中短期利率债,2020-02-27
008774.OF,招商鑫福中短债A,2020-05-22
008783.OF,南方乐元中短期利率债A,2020-03-18
008815.OF,红塔红土盛平中短债A,2020-04-09
008820.OF,大成景悦A,2020-06-19
008864.OF,鑫元中短债A,2020-04-29
008911.OF,平安元丰中短债A,2020-04-15
009093.OF,华泰柏瑞鸿利中短债A,2020-05-21
009122.OF,湘财久丰3个月定开A,2020-04-26
009191.OF,中信保诚景裕中短债A,2020-07-03
009196.OF,北信瑞丰鼎盛中短债A,2020-04-29
009257.OF,工银瑞信尊利中短债F,2020-04-07
009290.OF,富国添享一年持有A,2020-06-02
009301.OF,恒生前海短债A,2020-06-17
009356.OF,博时季季乐三个月持有A,2020-05-27
009534.OF,南方升元中短期利率债A,2020-06-16
009655.OF,工银瑞信尊益中短债A,2020-07-20
010048.OF,平安短债I,2020-08-13
010145.OF,格林中短债A,2020-10-28
040045.OF,华安添鑫中短债A,2012-12-24
070009.OF,嘉实超短债,2006-04-26
090021.OF,大成月添利理财A,2020-06-30
110053.OF,易方达安源中短债A,2019-05-28
167504.OF,安信中短利率债A,2019-06-26
217025.OF,招商理财7天A,2020-04-29
270043.OF,广发理财年年红,2012-07-19
470014.OF,汇添富理财14天A,2019-12-27
470060.OF,汇添富理财60天A,2019-04-18
485022.OF,工银瑞信尊益中短债F,2020-07-20
485118.OF,工银瑞信7天理财A,2020-03-09
485120.OF,工银瑞信14天理财A,2020-06-15
519199.OF,万家家享中短债A,2016-11-01
531028.OF,建信短债A,2020-01-13
000005.OF,嘉实增强信用,2013-03-08
000015.OF,华夏纯债A,2013-03-08
000024.OF,大摩双利增强A,2013-03-26
000032.OF,易方达信用债A,2013-04-24
000037.OF,广发景宁纯债,2020-04-22
000053.OF,鹏华永诚一年定开,2013-05-03
000064.OF,大摩纯债稳定增利,2013-06-25
000069.OF,国投瑞银中高等级A,2013-05-14
000074.OF,工银信用纯债一年A,2013-05-22
000078.OF,工银信用纯债两年A,2013-06-24
000086.OF,南方稳利1年A,2013-07-23
000090.OF,民生加银高等级信用债A,2020-07-24
000104.OF,华宸未来稳健添利A,2013-08-20
000105.OF,建信安心回报A,2013-05-14
000111.OF,易方达纯债1年A,2013-07-30
000113.OF,嘉实如意宝AB,2013-06-04
000116.OF,嘉实丰益纯债,2013-05-21
000122.OF,汇添富实业债A,2013-06-14
000134.OF,中信保诚嘉鸿A,2020-07-24
000137.OF,民生加银岁岁增利A,2013-08-01
000139.OF,富国国有企业债AB,2013-09-25
000147.OF,易方达高等级信用债A,2013-08-23
000149.OF,华安双债添利A,2013-06-14
000152.OF,大成景旭纯债A,2013-07-23
000174.OF,汇添富高息债A,2013-06-27
000183.OF,嘉实丰益策略,2013-07-30
000186.OF,华泰柏瑞季季红,2013-11-13
000187.OF,华泰柏瑞丰盛纯债A,2013-09-02
000191.OF,富国信用债A,2013-06-25
000194.OF,银华信用四季红A,2013-08-07
000197.OF,富国一年期纯债,2013-06-27
000200.OF,博时岁岁增利,2013-06-26
000201.OF,诺安泰鑫一年A,2013-11-05
000205.OF,易方达投资级信用债A,2013-09-10
000212.OF,泰信鑫益A,2013-07-17
000221.OF,汇添富年年利A,2013-09-06
000225.OF,长盛年年收益A,2013-08-09
000227.OF,华安年年红A,2013-11-14
000235.OF,诺安稳固收益,2013-08-21
000239.OF,华安年年盈A,2015-02-03
000244.OF,天弘稳利A,2013-07-19
000246.OF,博时月月薪,2013-07-25
000252.OF,景顺长城景兴信用纯债A,2013-08-26
000254.OF,长城增强收益A,2013-09-06
000265.OF,易方达恒久添利1年A,2014-09-10
000267.OF,广发集利一年A,2013-08-21
000271.OF,中邮定期开放A,2013-11-05
000277.OF,博时双月薪,2013-10-22
000286.OF,银华信用季季红A,2013-09-18
000289.OF,鹏华丰泰A,2013-09-24
000295.OF,鹏华丰实A,2013-09-10
000298.OF,中海纯债A,2014-04-23
000305.OF,中银中高等级A,2013-12-05
000310.OF,安信永利信用A,2013-11-08
000316.OF,中海瑞利六个月定开,2019-10-24
000319.OF,泰达宏利淘利A,2014-08-06
000329.OF,鹏华丰饶,2016-08-24
000345.OF,鹏华丰融,2013-11-19
000346.OF,建信安心回报6个月A,2013-11-05
000355.OF,南方丰元信用增强A,2013-11-12
000372.OF,中银惠利纯债,2013-11-07
000395.OF,汇添富安心中国A,2013-11-22
000402.OF,工银瑞信纯债A,2014-05-16
000415.OF,大摩纯债稳定添利A,2014-09-02
000419.OF,大摩优质信价纯债A,2014-11-25
000437.OF,融通通启A,2014-08-29
000465.OF,景顺长城鑫月薪,2014-03-20
000469.OF,富国目标齐利一年,2014-07-25
000489.OF,光大岁末红利纯债A,2014-08-12
000497.OF,财通纯债A,2016-01-19
000516.OF,富国祥利一年期A,2017-08-30
000521.OF,诺安瑞鑫定期开放,2017-12-28
000546.OF,兴业定期开放A,2014-03-13
000552.OF,中加纯债一年A,2014-03-24
000561.OF,南方启元A,2014-07-25
000563.OF,南方通利A,2014-04-25
000583.OF,江信聚福,2014-05-29
000606.OF,天弘优选,2017-09-26
000632.OF,中银聚利定期开放,2017-07-21
000655.OF,鑫元稳利,2014-06-12
000668.OF,国寿安保尊享A,2014-07-24
000694.OF,鑫元鸿利,2014-06-26
000736.OF,诺安聚利A,2014-11-13
000744.OF,北信瑞丰稳定收益A,2014-08-27
000801.OF,中金纯债A,2014-11-04
000815.OF,鑫元合享纯债A,2018-11-13
000817.OF,中银安心回报半年,2014-10-24
000839.OF,上投摩根纯债丰利A,2014-11-18
000889.OF,上投摩根纯债添利A,2014-12-24
000898.OF,华富恒稳纯债A,2014-12-17
000911.OF,鑫元合丰纯债A,2016-12-27
000914.OF,中加纯债,2016-12-23
000931.OF,国寿安保尊益信用纯债,2015-01-22
000943.OF,工银中高等级信用债A,2015-12-02
000951.OF,中银慧享A,2020-09-21
000997.OF,南方双元A,2015-02-10
001019.OF,兴业年年利,2015-02-12
